datetime,VOC,CO2,humidity,temperature,water_temperature,pH,EC
2020-06-27 19:23:32,0.1,407.2,72.0,22.0,20.94,-1.0,-1.0
2020-06-27 20:29:09,0.4,407.5,66.0,23.0,21.00,-1.0,-1.0
2020-06-27 21:34:13,0.5,405.9,64.0,23.0,21.06,-1.0,-1.0
2020-06-27 22:39:17,0.2,410.0,nan,nan,21.12,6.63,-1.0
2020-06-28 10:23:22,0.7,411.9,68.0,22.333333333333332,21.31,5.87,-1.0
2020-06-28 13:53:40,0.7,405.3,73.0,22.0,21.12,-1.0,0.84
2020-06-28 15:07:12,1.3,405.8,69.33333333333333,22.666666666666668,21.06,-1.0,-1.0
2020-06-28 16:37:09,0.8,405.1,70.33333333333333,22.0,21.00,6.98,-1.0
2020-06-28 17:43:09,0.1,404.0,67.0,23.0,21.00,7.34,0.82
2020-06-28 19:09:31,0.2,416.0,66.66666666666667,23.0,21.06,7.06,0.88
2020-06-29 11:32:34,1.3,409.8,75.33333333333333,22.0,21.50,6.76,-1.0
2020-06-29 13:53:24,0.3,409.2,71.66666666666667,23.0,21.31,-1.0,-1.0
2020-06-29 14:58:28,0.6,411.3,72.0,22.0,21.25,6.66,0.7
2020-06-29 21:17:59,0.0,405.7,nan,nan,21.31,-1.0,-1.0
2020-06-29 21:53:03,0.2,405.4,63.666666666666664,24.0,21.31,6.22,-1.0
2020-06-29 22:59:06,1.1,409.8,68.0,23.0,21.31,6.19,-1.0
2020-06-30 10:23:13,0.4,409.6,65.0,22.0,21.25,5.07,-1.0
2020-06-30 11:09:53,2.0,425.6,64.0,22.0,21.19,-1.0,0.76
2020-06-30 12:16:31,0.0,416.7,58.333333333333336,23.0,21.12,-1.0,-1.0
2020-06-30 15:23:07,0.2,413.3,56.333333333333336,23.0,20.94,5.16,0.8
2020-06-30 16:25:12,0.7,414.1,57.0,23.0,20.94,-1.0,-1.0
2020-06-30 18:05:16,1.1,413.6,58.333333333333336,23.0,-1.00,5.36,20.81
2020-06-30 20:38:31,1.6,412.9,42.0,27.0,21.19,5.18,0.7
2020-07-01 11:29:41,0.0,408.8,66.33333333333333,21.0,21.19,5.55,-1.0
2020-07-01 12:35:07,0.1,415.3,63.333333333333336,22.0,21.12,5.6,0.69
2020-07-01 18:59:43,0.0,416.8,65.0,22.0,20.94,5.53,-1.0
2020-07-01 20:05:10,0.1,405.4,64.33333333333333,22.666666666666668,21.06,5.47,-1.0
2020-07-01 21:14:45,0.7,412.5,64.66666666666667,23.0,21.12,-1.0,-1.0
2020-07-01 22:50:12,0.1,408.6,66.0,23.0,21.19,5.59,-1.0
2020-07-02 11:53:39,0.3,412.2,68.33333333333333,22.0,21.12,-1.0,-1.0
2020-07-02 16:23:33,0.1,410.7,69.66666666666667,22.0,20.87,5.57,-1.0
2020-07-04 11:08:33,0.5,413.3,64.0,22.0,21.12,-1.0,-1.0
2020-07-04 12:14:04,0.6,414.1,65.0,21.0,21.06,-1.0,-1.0
2020-07-04 13:24:06,0.1,408.6,63.666666666666664,21.666666666666668,20.94,-1.0,-1.0
2020-07-04 14:29:12,0.4,418.5,63.666666666666664,21.666666666666668,20.87,5.81,-1.0
2020-07-04 17:08:40,1.2,417.4,66.33333333333333,21.333333333333332,20.75,5.92,0.01
2020-07-05 11:08:31,0.4,410.2,67.33333333333333,22.0,21.19,5.94,-1.0
2020-07-05 12:14:16,1.0,407.8,70.33333333333333,22.0,21.06,5.91,-1.0
2020-07-05 13:23:39,0.6,417.9,70.0,22.0,21.06,5.99,-1.0
2020-07-05 16:24:06,0.0,408.8,68.66666666666667,22.0,20.87,5.92,-1.0
2020-07-05 22:14:11,1.3,405.5,69.0,22.0,21.12,5.98,-1.0
2020-07-06 10:23:15,0.3,411.0,66.33333333333333,22.333333333333332,21.25,-1.0,-1.0
2020-07-06 11:29:26,1.7,410.2,69.0,22.0,21.19,6.05,-1.0
2020-07-06 12:33:58,0.6,410.3,69.0,22.0,21.12,6.02,-1.0
2020-07-06 14:08:38,0.6,417.1,65.66666666666667,22.0,21.00,6.01,-1.0
2020-07-06 15:13:59,0.0,410.4,67.0,22.0,20.94,6.04,-1.0
2020-07-06 16:23:16,0.5,408.7,61.333333333333336,22.0,20.87,-1.0,-1.0
2020-07-06 17:53:33,0.5,408.9,64.0,22.0,20.87,6.08,-1.0
2020-07-06 18:59:20,0.5,414.6,62.0,22.666666666666668,20.87,6.09,-1.0
2020-07-06 20:03:58,0.2,407.9,59.666666666666664,23.0,20.94,6.06,-1.0
2020-07-06 22:08:40,0.2,406.4,57.666666666666664,23.0,21.00,6.07,-1.0
2020-07-07 11:08:05,1.3,414.6,57.0,22.0,20.75,6.28,-1.0
2020-07-07 12:13:45,1.0,410.4,54.666666666666664,21.333333333333332,20.69,6.2,-1.0
2020-07-07 16:38:31,1.1,415.7,53.0,21.0,20.44,6.34,-1.0
2020-07-07 19:23:01,0.6,409.9,58.0,21.0,20.44,6.43,-1.0
2020-07-07 20:28:45,0.6,408.2,50.333333333333336,22.0,20.50,6.26,-1.0
